,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroPumpedStorage[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.6109409213238667,0.6793587002266385,0.2969767850051915,0.6591600529935512,0.5112775370031849,0.3587269999611832,0.6106066103870595,0.4742844936215813,0.6554141040462028,-0.014172033955485644,-0.25361208488906956,0.0391605146228381,0.07507265174218446,0.1697979462413331,0.7151158533064049,0.7080223094648508,0.7287295119210835,-0.04591324041781591,0.07126113443792172
FossilGas[MW],0.6109409213238667,1.0,0.8228089514746,0.3423687300491316,0.7511737845361496,0.7151036176632036,0.3111188444224981,0.7039495729257409,0.5574300389112039,0.7770283454142393,-0.29430098971942126,-0.11060141699433192,0.07678646205303725,0.03423083513814815,0.04112103472254987,0.7558385380213896,0.7541883752442368,0.7541022870897084,-0.19357447622370944,0.21191454055755557
FossilHardcoal[MW],0.6793587002266385,0.8228089514746,1.0,0.3466326954724589,0.7669190339651578,0.6436449273644121,0.36096391759054824,0.6684243988411724,0.5987939215859984,0.8240661298167241,-0.192968350987861,-0.20424424424599824,0.07869959510677449,0.09750727902519016,0.14714115688085816,0.7845483257297551,0.7836724171228098,0.800353470637227,-0.0875301422588828,0.11057739734966213
FossilOil[MW],0.2969767850051915,0.3423687300491316,0.3466326954724589,1.0,0.2913028511663043,0.2633508815970082,0.2485416798853546,0.36425854683516284,0.13588467522611317,0.29438008427773815,0.018249632513347193,0.022600233463454855,0.11037138007654673,-0.03461453639151326,-0.011495263989013375,0.3385402963953436,0.33721614841324765,0.3413746123455239,-0.12529667574283587,0.12825788766229984
FossilPeat[MW],0.6591600529935512,0.7511737845361496,0.7669190339651578,0.2913028511663043,1.0,0.4748571616484595,0.2902134078461077,0.6474542566195863,0.5610723055397506,0.7596067274742181,-0.2609700505593358,-0.24641362834612243,-0.1687111806941908,0.21354616557387165,0.2019259111255778,0.7328202313185184,0.7318500034338535,0.7857782138461672,-0.016426844446925364,0.04253019399116121
HydroPumpedStorage[MW],0.5112775370031849,0.7151036176632036,0.6436449273644121,0.2633508815970082,0.4748571616484595,1.0,0.24780754823319537,0.7006655425854146,0.19723098373355283,0.550973387234309,0.09684427947847339,-0.07296026658820194,0.33520388391293865,-0.21632061490947538,-0.3144877942559219,0.6259720439761736,0.6259997453379508,0.5409778202208955,-0.4624247160442598,0.476032945087335
HydroRun-of-riverandpoundage[MW],0.3587269999611832,0.3111188444224981,0.36096391759054824,0.2485416798853546,0.2902134078461077,0.24780754823319537,1.0,0.5007202620133167,0.2259804692083794,0.3782409769200977,-0.2638890445584599,0.15554613670134199,0.012563396439094729,0.06981533919397084,0.011547505712604341,0.4543789675675991,0.4551924860375963,0.5164134911448385,-0.17754366617733724,0.17296792737908145
HydroWaterReservoir[MW],0.6106066103870595,0.7039495729257409,0.6684243988411724,0.36425854683516284,0.6474542566195863,0.7006655425854146,0.5007202620133167,1.0,0.31668280933593385,0.5562824261987397,-0.06373149965917548,0.009050187032636266,0.19471020144848478,-0.10536635943807608,-0.24469246389805474,0.841692638222418,0.8388124971730778,0.7675766077392417,-0.508799364141658,0.5230412726162222
Nuclear[MW],0.4742844936215813,0.5574300389112039,0.5987939215859984,0.13588467522611317,0.5610723055397506,0.19723098373355283,0.2259804692083794,0.31668280933593385,1.0,0.7095053306627636,-0.25007576496954886,-0.2651093594547494,-0.19076478831114166,0.3065170690634435,0.41317877281748194,0.7020039046500031,0.6979028199044764,0.7016019724512189,0.21774296704102708,-0.19520519712621004
Other[MW],0.6554141040462028,0.7770283454142393,0.8240661298167241,0.29438008427773815,0.7596067274742181,0.550973387234309,0.3782409769200977,0.5562824261987397,0.7095053306627636,1.0,-0.27712718542711845,-0.0968290355119903,-0.1136799937567622,0.2465685003028551,0.3231142711416548,0.7545951465842823,0.7508387422463916,0.8253073853246959,0.08341870028560955,-0.0716872921441801
Otherrenewable[MW],-0.014172033955485644,-0.29430098971942126,-0.192968350987861,0.018249632513347193,-0.2609700505593358,0.09684427947847339,-0.2638890445584599,-0.06373149965917548,-0.25007576496954886,-0.27712718542711845,1.0,-0.03513903490803871,0.4306105770529566,-0.13439996718950387,-0.12835035733237274,-0.13665701242967168,-0.14028454172604002,-0.17651661734985152,-0.06319016764585644,0.06035403849978647
Solar[MW],-0.25361208488906956,-0.11060141699433192,-0.20424424424599824,0.022600233463454855,-0.24641362834612243,-0.07296026658820194,0.15554613670134199,0.009050187032636266,-0.2651093594547494,-0.0968290355119903,-0.03513903490803871,1.0,0.1010321239543844,-0.26648434549964484,-0.25954406215475795,-0.13017413226031974,-0.13140747532831992,-0.16804228898244658,-0.2537951489891121,0.1804945460475048
Waste[MW],0.0391605146228381,0.07678646205303725,0.07869959510677449,0.11037138007654673,-0.1687111806941908,0.33520388391293865,0.012563396439094729,0.19471020144848478,-0.19076478831114166,-0.1136799937567622,0.4306105770529566,0.1010321239543844,1.0,-0.4076778016289874,-0.46397370614368466,0.0500500703150344,0.051666605835492124,-0.10106092740160286,-0.47580309474583515,0.472627096587818
WindOffshore[MW],0.07507265174218446,0.03423083513814815,0.09750727902519016,-0.03461453639151326,0.21354616557387165,-0.21632061490947538,0.06981533919397084,-0.10536635943807608,0.3065170690634435,0.2465685003028551,-0.13439996718950387,-0.26648434549964484,-0.4076778016289874,1.0,0.6599173400630831,0.10940629482510811,0.11065998996610024,0.3390074288624838,0.6812880585598204,-0.6700664505241601
WindOnshore[MW],0.1697979462413331,0.04112103472254987,0.14714115688085816,-0.011495263989013375,0.2019259111255778,-0.3144877942559219,0.011547505712604341,-0.24469246389805474,0.41317877281748194,0.3231142711416548,-0.12835035733237274,-0.25954406215475795,-0.46397370614368466,0.6599173400630831,1.0,0.07517353831586344,0.07577774361057098,0.3932525680787864,0.9376709281029851,-0.9310901344422411
Inertia[GW],0.7151158533064049,0.7558385380213896,0.7845483257297551,0.3385402963953436,0.7328202313185184,0.6259720439761736,0.4543789675675991,0.841692638222418,0.7020039046500031,0.7545951465842823,-0.13665701242967168,-0.13017413226031974,0.0500500703150344,0.10940629482510811,0.07517353831586344,1.0,1.0,0.8921707063215785,-0.20165410511215237,0.22240371082163954
Inertia,0.7080223094648508,0.7541883752442368,0.7836724171228098,0.33721614841324765,0.7318500034338535,0.6259997453379508,0.4551924860375963,0.8388124971730778,0.6979028199044764,0.7508387422463916,-0.14028454172604002,-0.13140747532831992,0.051666605835492124,0.11065998996610024,0.07577774361057098,1.0,1.0,0.8919362539993392,-0.2004050837621149,0.22115130261784785
Total_production,0.7287295119210835,0.7541022870897084,0.800353470637227,0.3413746123455239,0.7857782138461672,0.5409778202208955,0.5164134911448385,0.7675766077392417,0.7016019724512189,0.8253073853246959,-0.17651661734985152,-0.16804228898244658,-0.10106092740160286,0.3390074288624838,0.3932525680787864,0.8921707063215785,0.8919362539993392,1.0,0.1021862797071954,-0.08335792508851234
Share_Wind,-0.04591324041781591,-0.19357447622370944,-0.0875301422588828,-0.12529667574283587,-0.016426844446925364,-0.4624247160442598,-0.17754366617733724,-0.508799364141658,0.21774296704102708,0.08341870028560955,-0.06319016764585644,-0.2537951489891121,-0.47580309474583515,0.6812880585598204,0.9376709281029851,-0.20165410511215237,-0.2004050837621149,0.1021862797071954,1.0,-0.9970891115154427
Share_Conv,0.07126113443792172,0.21191454055755557,0.11057739734966213,0.12825788766229984,0.04253019399116121,0.476032945087335,0.17296792737908145,0.5230412726162222,-0.19520519712621004,-0.0716872921441801,0.06035403849978647,0.1804945460475048,0.472627096587818,-0.6700664505241601,-0.9310901344422411,0.22240371082163954,0.22115130261784785,-0.08335792508851234,-0.9970891115154427,1.0
